,Invalid
0,414687232
1,414687233
2,414687234
3,414687235
4,788051968
5,713220101
6,713220102
7,557377543
8,557377544
9,557377545
10,665765895
11,713220103
12,690063373
13,557377550
14,660830222
15,557377552
16,690063382
17,796842007
18,528973852
19,528973853
20,796842012
21,10275
22,431591460
23,749643812
24,374016039
25,374016040
26,374016041
27,431591466
28,10282
29,374016044
30,726603820
31,374016046
32,374016047
33,848377904
34,848377901
35,726603827
36,580851767
37,723150922
38,65610
39,528691278
40,781518926
41,60667
42,793364569
43,793364570
44,793364571
45,12378
46,12379
47,12380
48,767549536
49,14439
50,14440
51,14441
52,14442
53,382500979
54,382500980
55,382500986
56,688332924
57,557054077
58,688332926
59,688332925
60,571596931
61,571596932
62,571596933
63,773214342
64,387420295
65,361676936
66,361676937
67,361676939
68,361676940
69,361676941
70,698499214
71,387420303
72,698499215
73,773214351
74,822917264
75,698499220
76,342902937
77,342902938
78,342902939
79,342902940
80,342902941
81,342902942
82,342902943
83,342902944
84,342902945
85,342902946
86,342902947
87,342902948
88,578777251
89,578777252
90,578777254
91,24744
92,24745
93,24746
94,55464
95,55462
96,55465
97,827363503
98,338495664
99,338495665
100,833865905
101,833865903
102,338495668
103,338495669
104,338495670
105,338495671
106,338495672
107,338495673
108,338495674
109,338495675
110,680665272
111,710623419
112,710623421
113,801896091
114,801896092
115,26819
116,26820
117,26821
118,6342
119,6341
120,6349
121,6350
122,555059408
123,555059409
124,555059410
125,516069588
126,555059413
127,344742109
128,344742110
129,344742112
130,344742113
131,344742114
132,344742115
133,344742116
134,344742117
135,344742118
136,344742119
137,602233063
138,602233064
139,602233065
140,602233069
141,602233070
142,791818478
143,602233072
144,837081328
145,837081330
146,837081331
147,67821
148,67824
149,791818486
150,647588096
151,608971017
152,434798868
153,880173333
154,658104598
155,880173334
156,658104602
157,658104603
158,752034076
159,752034077
160,752034075
161,764625199
162,18743
163,18744
164,18745
165,739510588
166,368453949
167,368453950
168,69951
169,368453952
170,69952
171,368453954
172,368453955
173,368453956
174,368453957
175,368453958
176,368453959
177,368453960
178,400470342
179,534556995
180,876439881
181,400470348
182,400470349
183,69959
184,441395536
185,375191889
186,375191890
187,441395537
188,375191892
189,876439890
190,375191894
191,375191895
192,876439889
193,516002140
194,695953759
195,810864994
196,810864997
197,550361448
198,810865001
199,880952898
200,461447553
201,20867
202,439247250
203,857221522
204,70908
205,857221528
206,857221529
207,70909
208,559200675
209,559200676
210,559200677
211,559200679
212,889076139
213,883968428
214,883968429
215,703592878
216,579422639
217,889076146
218,889076148
219,889076150
220,703592887
221,620599739
222,675748299
223,675748300
224,815944139
225,675748307
226,760420819
227,833865910
228,22996
229,22997
